objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year,value_formula,,,HLICT_Code,Community_school
,Rubi Valley Gaunpalika,DHADING,Rubi Valley,Gaunpalika,3,30,329,30401,524 3 30 4 001,NP0330401,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 2 15 3 002,43
,Gangajamuna Gaunpalika,DHADING,Gangajamuna,Gaunpalika,3,30,324,30403,524 3 30 4 002,NP0330402,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 3 35 3 003,29
,Khaniyabash Gaunpalika,DHADING,Khaniyabash,Gaunpalika,3,30,326,30402,524 3 30 4 003,NP0330403,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 5 57 4 001,53
,Tripura Sundari Gaunpalika,DHADING,Tripura Sundari,Gaunpalika,3,30,332,60105,524 3 30 4 004,NP0330404,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 1 07 4 001,39
,Netrawati Gaunpalika,DHADING,Netrawati,Gaunpalika,3,30,327,30405,524 3 30 4 005,NP0330405,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 1 09 3 001,46
,Jwalamukhi Gaunpalika,DHADING,Jwalamukhi,Gaunpalika,3,30,325,30407,524 3 30 4 006,NP0330406,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 6 64 3 002,36
,Siddhalek Gaunpalika,DHADING,Siddhalek,Gaunpalika,3,30,330,30408,524 3 30 4 007,NP0330407,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 3 21 4 005,71
,Benighat Rorang Gaunpalika,DHADING,Benighat Rorang,Gaunpalika,3,30,320,30409,524 3 30 4 008,NP0330408,e_i_f_n_c_s,75,Community School,,Total number of schools community/institutional,,75,,,524 3 24 4 006,37
,Gajuri Gaunpalika,DHADING,Gajuri,Gaunpalika,3,30,322,30410,524 3 30 4 009,NP0330409,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 3 30 4 003,28
,Galchi Gaunpalika,DHADING,Galchi,Gaunpalika,3,30,323,30411,524 3 30 4 010,NP0330410,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 7 67 4 010,41
,Thakre Gaunpalika,DHADING,Thakre,Gaunpalika,3,30,331,30412,524 3 30 4 011,NP0330411,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 6 66 4 003,16
,Hetauda Upamahanagarpalika,MAKAWANPUR,Hetauda,Upamahanagarpalika,3,31,336,31206,524 3 31 2 001,NP0331201,e_i_f_n_c_s,86,Community School,,Total number of schools community/institutional,,86,,,524 6 65 4 001,43
,Thaha Nagarpalika,MAKAWANPUR,Thaha,Nagarpalika,3,31,342,31202,524 3 31 3 001,NP0331301,e_i_f_n_c_s,57,Community School,,Total number of schools community/institutional,,57,,,524 1 13 4 001,54
,Manahari Gaunpalika,MAKAWANPUR,Manahari,Gaunpalika,3,31,340,31205,524 3 31 4 001,NP0331401,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 1 12 4 006,51
,Raksirang Gaunpalika,MAKAWANPUR,Raksirang,Gaunpalika,3,31,341,31204,524 3 31 4 002,NP0331402,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 1 11 4 001,19
,Kailash Gaunpalika,MAKAWANPUR,Kailash,Gaunpalika,3,31,338,31203,524 3 31 4 003,NP0331403,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 3 27 3 009,13
,Bhimphedi Gaunpalika,MAKAWANPUR,Bhimphedi,Gaunpalika,3,31,335,31207,524 3 31 4 004,NP0331404,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 3 28 4 002,24
,Indrasarowar Gaunpalika,MAKAWANPUR,Indrasarowar,Gaunpalika,3,31,337,31201,524 3 31 4 005,NP0331405,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 5 57 3 001,40
,Makawanpurgadhi Gaunpalika,MAKAWANPUR,Makawanpurgadhi,Gaunpalika,3,31,339,31208,524 3 31 4 006,NP0331406,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 2 33 3 002,40
,Bakaiya Gaunpalika,MAKAWANPUR,Bakaiya,Gaunpalika,3,31,334,31209,524 3 31 4 007,NP0331407,e_i_f_n_c_s,75,Community School,,Total number of schools community/institutional,,75,,,524 3 25 4 002,15
,Bagmati Gaunpalika,MAKAWANPUR,Bagmati,Gaunpalika,3,31,333,20503,524 3 31 4 008,NP0331408,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 1 06 4 001,45
,Parsa Wildlife Reserve Wildlife Reserve,MAKAWANPUR,Parsa Wildlife Reserve,Wildlife Reserve,3,31,779,99987,524 3 31 5 995,NP0331595,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 5 48 4 008,21
,Parsa Wildlife Reserve National Park,MAKAWANPUR,Parsa Wildlife Reserve,National Park,3,31,402,99988,524 3 31 5 997,NP0331597,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 5 49 3 004,49
,Bharatpur Mahanagarpalika,CHITAWAN,Bharatpur,Mahanagarpalika,3,35,395,30702,524 3 35 1 001,NP0335101,e_i_f_n_c_s,125,Community School,,Total number of schools community/institutional,,125,,,524 7 72 3 005,37
,Kalika Nagarpalika,CHITAWAN,Kalika,Nagarpalika,3,35,397,30304,524 3 35 3 001,NP0335301,e_i_f_n_c_s,38,Community School,,Total number of schools community/institutional,,38,,,524 6 53 4 001,49
,Ratnanagar Nagarpalika,CHITAWAN,Ratnanagar,Nagarpalika,3,35,401,31305,524 3 35 3 002,NP0335302,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 1 02 4 004,39
,Khairahani Nagarpalika,CHITAWAN,Khairahani,Nagarpalika,3,35,398,31306,524 3 35 3 003,NP0335303,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 6 60 4 002,51
,Rapti Nagarpalika,CHITAWAN,Rapti,Nagarpalika,3,35,400,31301,524 3 35 3 004,NP0335304,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 4 42 3 001,68
,Madi Nagarpalika,CHITAWAN,Madi,Nagarpalika,3,35,399,10209,524 3 35 3 005,NP0335305,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 4 37 4 001,30
,Ichchhyakamana Gaunpalika,CHITAWAN,Ichchhyakamana,Gaunpalika,3,35,396,31303,524 3 35 4 001,NP0335401,e_i_f_n_c_s,58,Community School,,Total number of schools community/institutional,,58,,,524 2 16 3 005,67
,Chitawan National Park National Park,CHITAWAN,Chitawan National Park,National Park,3,35,774,99989,524 3 35 5 997,NP0335597,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 2 19 3 003,52
,Palungtar Nagarpalika,GORKHA,Palungtar,Nagarpalika,4,36,410,40108,524 4 36 3 001,NP0436301,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 1 08 3 001,32
,Gorkha Nagarpalika,GORKHA,Gorkha,Nagarpalika,4,36,409,40109,524 4 36 3 002,NP0436302,e_i_f_n_c_s,59,Community School,,Total number of schools community/institutional,,59,,,524 3 25 1 001,50
,Chum Nubri Gaunpalika,GORKHA,Chum Nubri,Gaunpalika,4,36,406,40101,524 4 36 4 001,NP0436401,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 72 4 002,18
,Ajirkot Gaunpalika,GORKHA,Ajirkot,Gaunpalika,4,36,404,40102,524 4 36 4 002,NP0436402,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 5 56 3 001,28
,Sulikot Gaunpalika,GORKHA,Sulikot,Gaunpalika,4,36,413,40103,524 4 36 4 003,NP0436403,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 1 12 4 003,28
,Dharche Gaunpalika,GORKHA,Dharche,Gaunpalika,4,36,407,40104,524 4 36 4 004,NP0436404,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 7 71 3 006,46
,Siranchok Gaunpalika,GORKHA,Siranchok,Gaunpalika,4,36,412,40107,524 4 36 4 005,NP0436405,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 2 17 4 002,24
,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,4,36,403,40105,524 4 36 4 006,NP0436406,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 2 16 4 006,19
,Bhimsen Gaunpalika,GORKHA,Bhimsen,Gaunpalika,4,36,405,40106,524 4 36 4 007,NP0436407,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 6 59 3 004,46
,Sahid Lakhan Gaunpalika,GORKHA,Sahid Lakhan,Gaunpalika,4,36,411,40110,524 4 36 4 008,NP0436408,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 7 75 4 006,46
,Gandaki Gaunpalika,GORKHA,Gandaki,Gaunpalika,4,36,408,40111,524 4 36 4 009,NP0436409,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 1 05 3 001,34
,MadhyaNepal Nagarpalika,LAMJUNG,MadhyaNepal,Nagarpalika,4,37,773,40604,524 4 37 3 001,NP0437301,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 1 13 4 002,31
,Besishahar Nagarpalika,LAMJUNG,Besishahar,Nagarpalika,4,37,414,40605,524 4 37 3 002,NP0437302,e_i_f_n_c_s,60,Community School,,Total number of schools community/institutional,,60,,,524 3 21 4 006,53
,Sundarbazar Nagarpalika,LAMJUNG,Sundarbazar,Nagarpalika,4,37,421,40606,524 4 37 3 003,NP0437303,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 3 28 4 006,21
,Rainas Nagarpalika,LAMJUNG,Rainas,Nagarpalika,4,37,420,40607,524 4 37 3 004,NP0437304,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 1 11 4 003,22
,Kwholasothar Gaunpalika,LAMJUNG,Kwholasothar,Gaunpalika,4,37,417,40603,524 4 37 4 001,NP0437401,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 3 23 4 009,31
,Marsyangdi Gaunpalika,LAMJUNG,Marsyangdi,Gaunpalika,4,37,419,40602,524 4 37 4 002,NP0437402,e_i_f_n_c_s,58,Community School,,Total number of schools community/institutional,,58,,,524 2 18 3 008,22
,Dordi Gaunpalika,LAMJUNG,Dordi,Gaunpalika,4,37,415,40601,524 4 37 4 003,NP0437403,e_i_f_n_c_s,55,Community School,,Total number of schools community/institutional,,55,,,524 4 45 4 001,13
,Dudhpokhari Gaunpalika,LAMJUNG,Dudhpokhari,Gaunpalika,4,37,416,40608,524 4 37 4 004,NP0437404,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 5 48 3 004,64
,Neshyang Gaunpalika,MANANG,Neshyang,Gaunpalika,4,38,451,40202,524 4 38 4 001,NP0438401,e_i_f_n_c_s,8,Community School,,Total number of schools community/institutional,,8,,,524 5 54 4 008,32
,Narphu Gaunpalika,MANANG,Narphu,Gaunpalika,4,38,449,40201,524 4 38 4 002,NP0438402,e_i_f_n_c_s,2,Community School,,Total number of schools community/institutional,,2,,,524 4 39 4 002,48
,Chame Gaunpalika,MANANG,Chame,Gaunpalika,4,38,448,40203,524 4 38 4 003,NP0438403,e_i_f_n_c_s,6,Community School,,Total number of schools community/institutional,,6,,,524 5 51 4 001,49
,Nashong Gaunpalika,MANANG,Nashong,Gaunpalika,4,38,450,40204,524 4 38 4 004,NP0438404,e_i_f_n_c_s,11,Community School,,Total number of schools community/institutional,,11,,,524 2 32 3 011,22
,Pokhara Lekhnath Mahanagarpalika,KASKI,Pokhara Lekhnath,Mahanagarpalika,4,39,446,40504,524 4 39 1 001,NP0439101,e_i_f_n_c_s,223,Community School,,Total number of schools community/institutional,,223,,,524 5 58 3 002,33
,Annapurna Gaunpalika,KASKI,Annapurna,Gaunpalika,4,39,443,40401,524 4 39 4 001,NP0439401,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 4 47 3 001,41
,Machhapuchchhre Gaunpalika,KASKI,Machhapuchchhre,Gaunpalika,4,39,444,40502,524 4 39 4 002,NP0439402,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 4 37 3 001,48
,Madi Gaunpalika,KASKI,Madi,Gaunpalika,4,39,445,10209,524 4 39 4 003,NP0439403,e_i_f_n_c_s,55,Community School,,Total number of schools community/institutional,,55,,,524 3 26 3 001,17
,Rupa Gaunpalika,KASKI,Rupa,Gaunpalika,4,39,447,40505,524 4 39 4 004,NP0439404,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 4 39 4 003,55
,Shuklagandaki Nagarpalika,TANAHU,Shuklagandaki,Nagarpalika,4,40,431,40704,524 4 40 3 001,NP0440301,e_i_f_n_c_s,66,Community School,,Total number of schools community/institutional,,66,,,524 5 54 4 004,33
,Byas Nagarpalika,TANAHU,Byas,Nagarpalika,4,40,426,40702,524 4 40 3 002,NP0440302,e_i_f_n_c_s,88,Community School,,Total number of schools community/institutional,,88,,,524 1 09 3 005,35
,Bhanu Nagarpalika,TANAHU,Bhanu,Nagarpalika,4,40,424,40701,524 4 40 3 003,NP0440303,e_i_f_n_c_s,72,Community School,,Total number of schools community/institutional,,72,,,524 3 35 3 005,45
,Bhimad Nagarpalika,TANAHU,Bhimad,Nagarpalika,4,40,425,40705,524 4 40 3 004,NP0440304,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 3 24 4 007,51
,Myagde Gaunpalika,TANAHU,Myagde,Gaunpalika,4,40,429,40703,524 4 40 4 001,NP0440401,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 6 61 4 003,34
,Ghiring Gaunpalika,TANAHU,Ghiring,Gaunpalika,4,40,428,40706,524 4 40 4 002,NP0440402,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 2 15 4 005,18
,Rhishing Gaunpalika,TANAHU,Rhishing,Gaunpalika,4,40,430,40707,524 4 40 4 003,NP0440403,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 2 33 3 003,46
,Bandipur Gaunpalika,TANAHU,Bandipur,Gaunpalika,4,40,423,40709,524 4 40 4 004,NP0440404,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 7 72 3 001,26
,Anbukhaireni Gaunpalika,TANAHU,Anbukhaireni,Gaunpalika,4,40,422,40710,524 4 40 4 005,NP0440405,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 7 75 3 001,50
,Devghat Gaunpalika,TANAHU,Devghat,Gaunpalika,4,40,427,40708,524 4 40 4 006,NP0440406,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 1 11 4 002,19
,Putalibazar Nagarpalika,SYANGJA,Putalibazar,Nagarpalika,4,41,441,40901,524 4 41 3 001,NP0441301,e_i_f_n_c_s,74,Community School,,Total number of schools community/institutional,,74,,,524 1 07 3 001,53
,Bhirkot Nagarpalika,SYANGJA,Bhirkot,Nagarpalika,4,41,434,40905,524 4 41 3 002,NP0441302,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 3 25 3 002,14
,Galyang Nagarpalika,SYANGJA,Galyang,Nagarpalika,4,41,437,40910,524 4 41 3 003,NP0441303,e_i_f_n_c_s,60,Community School,,Total number of schools community/institutional,,60,,,524 3 25 4 003,24
,Waling Nagarpalika,SYANGJA,Waling,Nagarpalika,4,41,442,40909,524 4 41 3 004,NP0441304,e_i_f_n_c_s,81,Community School,,Total number of schools community/institutional,,81,,,524 5 49 3 005,74
,Chapakot Nagarpalika,SYANGJA,Chapakot,Nagarpalika,4,41,436,40908,524 4 41 3 005,NP0441305,e_i_f_n_c_s,56,Community School,,Total number of schools community/institutional,,56,,,524 4 42 4 004,30
,Aandhikhola Gaunpalika,SYANGJA,Aandhikhola,Gaunpalika,4,41,432,40903,524 4 41 4 001,NP0441401,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 6 64 4 006,21
,Phedikhola Gaunpalika,SYANGJA,Phedikhola,Gaunpalika,4,41,440,40902,524 4 41 4 002,NP0441402,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 2 18 4 004,12
,Arjunchaupari Gaunpalika,SYANGJA,Arjunchaupari,Gaunpalika,4,41,433,40904,524 4 41 4 003,NP0441403,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 1 03 4 003,38
,Biruwa Gaunpalika,SYANGJA,Biruwa,Gaunpalika,4,41,435,40906,524 4 41 4 004,NP0441404,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 1 03 3 004,50
,Harinas Gaunpalika,SYANGJA,Harinas,Gaunpalika,4,41,438,40907,524 4 41 4 005,NP0441405,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 1 01 4 005,28
,Kaligandagi Gaunpalika,SYANGJA,Kaligandagi,Gaunpalika,4,41,439,40911,524 4 41 4 006,NP0441406,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 1 09 4 001,46
,Kushma Nagarpalika,PARBAT,Kushma,Nagarpalika,4,42,466,41003,524 4 42 3 001,NP0442301,e_i_f_n_c_s,68,Community School,,Total number of schools community/institutional,,68,,,524 3 31 4 006,39
,Phalebas Nagarpalika,PARBAT,Phalebas,Nagarpalika,4,42,470,41004,524 4 42 3 002,NP0442302,e_i_f_n_c_s,58,Community School,,Total number of schools community/institutional,,58,,,524 2 19 3 009,23
,Jaljala Gaunpalika,PARBAT,Jaljala,Gaunpalika,4,42,465,41002,524 4 42 4 001,NP0442401,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 5 50 4 001,61
,Modi Gaunpalika,PARBAT,Modi,Gaunpalika,4,42,468,41001,524 4 42 4 002,NP0442402,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 4 44 4 004,34
,Bihadi Gaunpalika,PARBAT,Bihadi,Gaunpalika,4,42,464,41006,524 4 42 4 003,NP0442403,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 5 51 4 002,55
,Mahashila Gaunpalika,PARBAT,Mahashila,Gaunpalika,4,42,467,41005,524 4 42 4 004,NP0442404,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 7 75 4 004,46
,Painyu Gaunpalika,PARBAT,Painyu,Gaunpalika,4,42,469,41007,524 4 42 4 005,NP0442405,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 5 55 4 005,25
,Dhorpatan Nagarpalika,BAGLUNG,Dhorpatan,Nagarpalika,4,43,474,41105,524 4 43 3 001,NP0443301,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 3 31 4 001,32
,Galkot Nagarpalika,BAGLUNG,Galkot,Nagarpalika,4,43,475,41108,524 4 43 3 002,NP0443302,e_i_f_n_c_s,73,Community School,,Total number of schools community/institutional,,73,,,524 2 18 3 006,27
,Baglung Nagarpalika,BAGLUNG,Baglung,Nagarpalika,4,43,472,41101,524 4 43 3 003,NP0443303,e_i_f_n_c_s,111,Community School,,Total number of schools community/institutional,,111,,,524 3 24 3 001,47
,Jaimuni Nagarpalika,BAGLUNG,Jaimuni,Nagarpalika,4,43,476,41110,524 4 43 3 004,NP0443304,e_i_f_n_c_s,77,Community School,,Total number of schools community/institutional,,77,,,524 5 55 4 004,26
,Nisikhola Gaunpalika,BAGLUNG,Nisikhola,Gaunpalika,4,43,478,41106,524 4 43 4 001,NP0443401,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 1 13 4 007,46
,Taman Khola Gaunpalika,BAGLUNG,Taman Khola,Gaunpalika,4,43,479,41104,524 4 43 4 002,NP0443402,e_i_f_n_c_s,16,Community School,,Total number of schools community/institutional,,16,,,524 4 44 4 005,43
,Badigad Gaunpalika,BAGLUNG,Badigad,Gaunpalika,4,43,471,41107,524 4 43 4 003,NP0443403,e_i_f_n_c_s,62,Community School,,Total number of schools community/institutional,,62,,,524 7 69 3 002,51
,Tara Khola Gaunpalika,BAGLUNG,Tara Khola,Gaunpalika,4,43,480,41103,524 4 43 4 004,NP0443404,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 1 03 4 005,33
,Kanthekhola Gaunpalika,BAGLUNG,Kanthekhola,Gaunpalika,4,43,477,41102,524 4 43 4 005,NP0443405,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 3 21 3 001,87
,Bareng Gaunpalika,BAGLUNG,Bareng,Gaunpalika,4,43,473,41109,524 4 43 4 006,NP0443406,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 5 48 4 010,20
,Dhorpatan Hunting Reserve Hunting Reserve,BAGLUNG,Dhorpatan Hunting Reserve,Hunting Reserve,4,43,463,99990,524 4 43 5 998,NP0443598,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 3 20 4 002,47
,Beni Nagarpalika,MYAGDI,Beni,Nagarpalika,4,44,458,40406,524 4 44 3 001,NP0444301,e_i_f_n_c_s,60,Community School,,Total number of schools community/institutional,,60,,,524 7 75 4 007,43
,Dhaulagiri Gaunpalika,MYAGDI,Dhaulagiri,Gaunpalika,4,44,459,40403,524 4 44 4 001,NP0444401,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 4 37 4 002,58
,Raghuganga Gaunpalika,MYAGDI,Raghuganga,Gaunpalika,4,44,462,40402,524 4 44 4 002,NP0444402,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 7 67 4 008,32
,Annapurna Gaunpalika,MYAGDI,Annapurna,Gaunpalika,4,44,457,40401,524 4 44 4 003,NP0444403,e_i_f_n_c_s,38,Community School,,Total number of schools community/institutional,,38,,,524 5 46 4 004,41
,Malika Gaunpalika,MYAGDI,Malika,Gaunpalika,4,44,460,40404,524 4 44 4 004,NP0444404,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 2 18 3 010,14
,Mangala Gaunpalika,MYAGDI,Mangala,Gaunpalika,4,44,461,40405,524 4 44 4 005,NP0444405,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 2 32 3 006,24
,Dhorpatan Hunting Reserve Hunting Reserve,MYAGDI,Dhorpatan Hunting Reserve,Hunting Reserve,4,44,481,99991,524 4 44 5 998,NP0444598,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 5 48 4 005,29
,Lomanthang Gaunpalika,MUSTANG,Lomanthang,Gaunpalika,4,45,455,40304,524 4 45 4 001,NP0445401,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 5 49 4 003,50
,Dalome Gaunpalika,MUSTANG,Dalome,Gaunpalika,4,45,453,40301,524 4 45 4 002,NP0445402,e_i_f_n_c_s,11,Community School,,Total number of schools community/institutional,,11,,,524 1 04 3 005,43
,Barhagaun Muktikhsetra Gaunpalika,MUSTANG,Barhagaun Muktikhsetra,Gaunpalika,4,45,452,40303,524 4 45 4 003,NP0445403,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 3 28 4 001,25
,Gharapjhong Gaunpalika,MUSTANG,Gharapjhong,Gaunpalika,4,45,454,40302,524 4 45 4 004,NP0445404,e_i_f_n_c_s,7,Community School,,Total number of schools community/institutional,,7,,,524 3 23 3 001,73
,Thasang Gaunpalika,MUSTANG,Thasang,Gaunpalika,4,45,456,40305,524 4 45 4 005,NP0445405,e_i_f_n_c_s,12,Community School,,Total number of schools community/institutional,,12,,,524 7 74 3 003,46
,Madhyabindu Nagarpalika,NAWALPARASI_E,Madhyabindu,Nagarpalika,4,47,418,40807,524 4 47 3 001,NP0447301,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 7 69 4 002,34
,Kawasoti Nagarpalika,NAWALPARASI_E,Kawasoti,Nagarpalika,4,47,772,40806,524 4 47 3 002,NP0447302,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 3 22 4 006,47
,Devchuli Nagarpalika,NAWALPARASI_E,Devchuli,Nagarpalika,4,47,769,40805,524 4 47 3 003,NP0447303,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 1 08 4 001,23
,Gaidakot Nagarpalika,NAWALPARASI_E,Gaidakot,Nagarpalika,4,47,770,40801,524 4 47 3 004,NP0447304,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 1 01 4 004,36
,Bungdikali Gaunpalika,NAWALPARASI_E,Bungdikali,Gaunpalika,4,47,768,40803,524 4 47 4 001,NP0447401,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 1 02 4 007,56
,Bulingtar Gaunpalika,NAWALPARASI_E,Bulingtar,Gaunpalika,4,47,767,40802,524 4 47 4 002,NP0447402,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 1 05 4 002,34
,Hupsekot Gaunpalika,NAWALPARASI_E,Hupsekot,Gaunpalika,4,47,771,40804,524 4 47 4 003,NP0447403,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 1 01 4 002,27
,Binayee Tribeni Gaunpalika,NAWALPARASI_E,Binayee Tribeni,Gaunpalika,4,47,766,40808,524 4 47 4 004,NP0447404,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 2 16 3 002,32
,Chitawan National Park National Park,NAWALPARASI_E,Chitawan National Park,National Park,4,47,394,99992,524 4 47 5 997,NP0447597,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 2 17 3 005,15
,Tansen Nagarpalika,PALPA,Tansen,Nagarpalika,5,46,502,50605,524 5 46 3 001,NP0546301,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 2 17 3 001,29
,Rampur Nagarpalika,PALPA,Rampur,Nagarpalika,5,46,500,50601,524 5 46 3 002,NP0546302,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 4 42 4 002,54
,Rainadevi Chhahara Gaunpalika,PALPA,Rainadevi Chhahara,Gaunpalika,5,46,498,50607,524 5 46 4 001,NP0546401,e_i_f_n_c_s,61,Community School,,Total number of schools community/institutional,,61,,,524 7 71 4 003,40
,Tinau Gaunpalika,PALPA,Tinau,Gaunpalika,5,46,503,50608,524 5 46 4 002,NP0546402,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 1 13 4 003,24
,Ribdikot Gaunpalika,PALPA,Ribdikot,Gaunpalika,5,46,501,50606,524 5 46 4 003,NP0546403,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 6 62 4 004,11
,Mathagadhi Gaunpalika,PALPA,Mathagadhi,Gaunpalika,5,46,495,50609,524 5 46 4 004,NP0546404,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 6 65 4 003,15
,Bagnaskali Gaunpalika,PALPA,Bagnaskali,Gaunpalika,5,46,494,50604,524 5 46 4 005,NP0546405,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 2 17 4 005,10
