District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Rautahat,Chandrapur Municipality,524 2 32 3 002,20601,13445,1526,11326,5766,6870,1520,349,77,504,7417
Rautahat,Dewahi Gonahi Municipality,524 2 32 3 007,20609,4691,1254,3346,1534,601,20,25,6,28,2016
Rautahat,Durga Bhagawati Gaunpalika,524 2 32 4 002,20615,3812,847,2900,1978,1101,111,40,11,37,1912
Rautahat,Gadhimai Municipality,524 2 32 3 009,20606,6069,1530,4422,2347,891,67,33,7,23,2246
Rautahat,Garuda Municipality,524 2 32 3 008,20608,7444,1290,5972,2501,2137,219,87,15,155,3758
Rautahat,Gaur Municipality,524 2 32 3 015,20617,5635,618,4825,2374,2343,1282,246,73,469,3358
Rautahat,Gujara Municipality,524 2 32 3 001,20602,7391,1137,5961,2667,1664,222,54,3,36,3130
Rautahat,Ishanath Municipality,524 2 32 3 013,20618,5834,1236,4343,2154,825,131,31,9,33,2939
Rautahat,Katahariya Municipality,524 2 32 3 004,20604,5919,764,4954,2340,989,113,59,7,44,2759
Rautahat,Madhav Narayan Municipality,524 2 32 3 011,20607,5479,912,4202,1738,723,23,31,3,22,2138
Rautahat,Maulapur Municipality,524 2 32 3 006,20610,3830,411,3344,1555,505,18,15,2,14,1687
Rautahat,Paroha Municipality,524 2 32 3 012,20612,5380,1109,4089,1632,787,32,36,7,21,2420
Rautahat,Phatuwa Bijayapur Municipality,524 2 32 3 003,20603,5633,674,4791,2812,583,12,24,7,30,2439
